DISPLAY: COREOGRAFIE RICHIESTE,,,,,
Data: 11/04/2026   |   File: Borderò - ver 13.1.64.xlsm   |   Origine: borderò,,,,,
?,ID,Coreografia,Brano,Autore,Coreografo
,008,3 FLICKS,1 2 3,ann tayler,David Villelas
,011,3 TEQUILA FLOOR,3 tequila floor,josiah siska,Maddison Glover
,015,A BAR SONG,a bar song (tipsy),shaboozey,Ben Murphy
,018,AA,aa,walker hayes,Linda Scott
,022,ALL SHOOK UP,all shook up,billy joel,Naomi Fleetwood Pyle
,030,ASKIN' QUESTIONS,askin' questions,brady seals,Larry Bass
,031,AUSTIN,austin,dasha,Pol F. Ryan
,034,BACK DOWN,break it back down,pat green,Gianni Hook Valassi
,037,BEER FOR MY HORSES,beer for my horses,toby keith & willie nelson,Christine Bass
,040,BETTER COUNTRY,better country,paul brandt,Pino Piromalli
,046,BLACK COFFEE,all i want for christmas is you,mariah carey,Helen O'Malley
,061,BROKEN HEELS,broken heels,alexandra burke,Jo Kinser
,068,BUSH PARTY,bush party,dean brody,Valentina Trigila
,072,CANDY KISSES,bottoms up,brantley gilbert,Unknown
,076,CENTURION,my heart's broke down,dean miller,Rob Fowler
,086,CHEERLEADER,cheerleader,omi,Stefan Schutzer
,087,CHEYENNE,cadillac tears,kevin denney,Unknown
,097,CHILL FACTOR,born it to the ground,nickelback,Daniel Whittaker
,114,COUNTRY AS CAN BE,call me,blondie,Suzanne Wilson
,119,COWBOY BIG UP,cowboy up,jill johnson,Big Andrew Gragnaniello
,126,CRASH AND BURN,crush and burn,thomas rhett,Gail Smith
,134,DANCING VIOLINS,duelling violins,ronan hardiman,Maggie Ghallager
,138,DEAR LIFE,dear life,high valley,Stefano Civa
,144,DOCTOR DOCTOR,bad case of loving you,robert palmer,Masters in Line
,163,FIGHT,fight!,lee dewyze,Teo Lattanzio
,174,FOOTLOOSE,footloose,blake shelton,Rob Fowler
,191,GLASS OF WINE,cry to me,kilotile,Malene Jakobsen
,205,HALLELUL Y'ALL,halleluy'all,bomshel,Chris Jones
,225,IRISH CHANGE,tell me ma,sham rock,
,227,IRISH STEW,american land,bruce springsteen,Lois Lightfoot
,235,IT'S AMERICA,it's america,rodney atkins,Gaye Teather
,245,KILL THE SPIDERS,kill the spider,brad paisley,Gaye Teather
,267,LONG LONG WAY,long long way,alan jackson,DJ Dan
,271,LOST IN ME,wagon wheel,nathan carter,David Villelas
,277,ME AND JOHNNY CASH,me and jhonny cash,rainey qualley,Barry Amato
,309,OREGON,getaway truck,aaron watson,Silvia Denise Staiti
,312,P3,take it or break it,wilson fairchild,Gabi Ibanez
,315,PATIENT HEART,patient hearts,bekka & billy,Michael VeraLobos
,353,SETTLE DOWN,settle down,the mc clymons,Isabelle Gamba
,354,SEVEN,seven drunken nights,mike denver,Stefano Civa
,374,START THE CAR,farm girl strong,gord bamford,Tina Neale
,388,SUNSET,you belong with me,taylor swift,C B S LOUJO
,408,THREE TEACHERS,head over heels,the washboard union,David Villelas
,412,2 HELL AND BACK,if you're going through hell,rodney atkins,Rob Fowler
,433,URBAN LIFE,better life,keith urban,A T  Joven
,498,DELICIOUS,didn't I,dasha,Pol F. Ryan
,501,LIQUOR TALKING,liquor talkin',don luis,Maddison Glover
,502,BACK TO THE START,back to the start,michael schulte,Hayley Wheatley
,514,WILD,where the wild things are,luke combs,Isabella Ghinolfi
,515,CARRY YOU,carry you home,tim hicks & dyana reid,David Villelas
,524,OH LOVE,oh love,thorstein einarsson,Johnny Rossato
,526,RETRO,i feel it in the wind,smith & thell,Gusella Paolo
,535,SOMEWHERE IN SEDONA,so far so good,dalton davis,Maddison Glover
,545,MAN ON A MISSION,man on a mission,oh the lacerny,Gary O'Reilly
,548,I SHOWED YOU THE DOOR,the door,teddy swims,Ria Vos
,,,,,
,,,,,
